alpha,r2_test,n_features
0.0001,0.32920499726157526,36
0.00013738237958832623,0.3290085321033849,36
0.00018873918221350977,0.32877896364807435,33
0.0002592943797404667,0.32843016947267123,33
0.0003562247890262444,0.3278641702993923,33
0.0004893900918477494,0.3270948361563083,31
0.0006723357536499335,0.3260257309905671,28
0.0009236708571873865,0.3254645322009526,28
0.0012689610031679222,0.3244719093047096,27
0.0017433288221999873,0.3225915476689024,28
0.002395026619987486,0.31983012221332885,27
0.0032903445623126675,0.31668104514264706,25
0.004520353656360241,0.313858078499343,23
0.006210169418915616,0.30910616542184477,21
0.008531678524172805,0.3029585784077634,18
0.011721022975334805,0.29904919477958025,17
0.01610262027560939,0.2956041806699291,17
0.02212216291070448,0.28916966428567936,16
0.03039195382313198,0.28298377201036806,13
0.041753189365604,0.2741734248091239,13
0.05736152510448681,0.2629617588365333,11
0.07880462815669913,0.2471950444667872,10
0.1082636733874054,0.23443435316045735,10
0.14873521072935117,0.22103312740491587,7
0.20433597178569418,0.20711791371049193,5
0.2807216203941176,0.1932549926432311,4
0.38566204211634725,0.18018089958513306,2
0.5298316906283708,0.1581599116979855,2
0.7278953843983146,0.1166818262405287,2
1.0,0.03851246968427191,2
